Date,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,kasus_harian,kasus_aktif,total_kasus,Sembuh,sembuh_baru,Meninggal,meninggal_baru,tingkat_kesembuhan,tingkat_kematian,dosis_pertama,dosis_kedua
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,104.0,117.0,8.0,0.0,5.0,0.0,0.06837606837606838,0.042735042735042736,0.0,0.0
2020-03-16,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,121.0,134.0,8.0,0.0,5.0,0.0,0.05970149253731343,0.03731343283582089,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,156.0,172.0,9.0,1.0,7.0,2.0,0.05232558139534884,0.040697674418604654,0.0,0.0
2020-03-18,0.0,0.0,4.0,0.0,0.0,1.0,30.0,0.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,197.0,227.0,11.0,2.0,19.0,12.0,0.048458149779735685,0.08370044052863436,0.0,0.0
2020-03-19,0.0,0.0,10.0,0.0,0.0,2.0,52.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,269.0,309.0,15.0,4.0,25.0,6.0,0.04854368932038835,0.08090614886731391,0.0,0.0
2020-03-20,0.0,3.0,10.0,0.0,0.0,-1.0,5.0,0.0,15.0,0.0,6.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,321.0,369.0,16.0,1.0,32.0,7.0,0.04336043360433604,0.08672086720867209,0.0,0.0
2020-03-21,0.0,0.0,4.0,0.0,0.0,1.0,44.0,0.0,14.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,392.0,450.0,20.0,4.0,38.0,6.0,0.044444444444444446,0.08444444444444445,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,4.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,64.0,437.0,514.0,29.0,9.0,48.0,10.0,0.05642023346303502,0.0933852140077821,0.0,0.0
2020-03-23,0.0,3.0,9.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,500.0,579.0,30.0,1.0,49.0,1.0,0.05181347150259067,0.0846286701208981,0.0,0.0
2020-03-24,0.0,0.0,9.0,0.0,0.0,1.0,70.0,0.0,1.0,4.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,600.0,685.0,30.0,0.0,55.0,6.0,0.043795620437956206,0.08029197080291971,0.0,0.0
2020-03-25,0.0,3.0,2.0,0.0,0.0,11.0,39.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,701.0,790.0,31.0,1.0,58.0,3.0,0.039240506329113925,0.07341772151898734,0.0,0.0
2020-03-26,1.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,5.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,103.0,780.0,893.0,35.0,4.0,78.0,20.0,0.03919372900335946,0.08734602463605823,0.0,0.0
2020-03-27,3.0,0.0,17.0,0.0,0.0,6.0,83.0,0.0,20.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,153.0,913.0,1046.0,46.0,11.0,87.0,9.0,0.04397705544933078,0.08317399617590822,0.0,0.0
2020-03-28,0.0,0.0,10.0,0.0,0.0,0.0,38.0,0.0,21.0,12.0,11.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,994.0,1155.0,59.0,13.0,102.0,15.0,0.05108225108225108,0.08831168831168831,0.0,0.0
2020-03-29,0.0,1.0,3.0,0.0,0.0,0.0,48.0,0.0,30.0,8.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,130.0,1107.0,1285.0,64.0,5.0,114.0,12.0,0.049805447470817124,0.088715953307393,0.0,0.0
2020-03-30,0.0,9.0,22.0,1.0,0.0,1.0,24.0,1.0,25.0,17.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,1217.0,1414.0,75.0,11.0,122.0,8.0,0.05304101838755304,0.08628005657708628,0.0,0.0
2020-03-31,0.0,0.0,14.0,1.0,1.0,5.0,41.0,0.0,16.0,13.0,2.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,114.0,1311.0,1528.0,81.0,6.0,136.0,14.0,0.05301047120418848,0.08900523560209424,0.0,0.0
2020-04-01,0.0,6.0,11.0,0.0,0.0,5.0,62.0,0.0,21.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,1417.0,1677.0,103.0,22.0,157.0,21.0,0.06141920095408467,0.0936195587358378,0.0,0.0
2020-04-02,0.0,0.0,8.0,0.0,0.0,0.0,80.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1508.0,1790.0,112.0,9.0,170.0,13.0,0.06256983240223464,0.09497206703910614,0.0,0.0
2020-04-03,0.0,2.0,6.0,0.0,1.0,0.0,74.0,0.0,2.0,10.0,52.0,0.0,1.0,3.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,16.0,2.0,4.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,196.0,1671.0,1986.0,134.0,22.0,181.0,11.0,0.06747230614300101,0.09113796576032225,0.0,0.0
2020-04-04,0.0,5.0,3.0,0.0,0.0,5.0,55.0,0.0,24.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,106.0,1751.0,2092.0,150.0,16.0,191.0,10.0,0.07170172084130019,0.0913001912045889,0.0,0.0
2020-04-05,0.0,3.0,4.0,0.0,0.0,1.0,96.0,0.0,5.0,0.0,36.0,0.0,6.0,0.0,8.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,181.0,1911.0,2273.0,164.0,14.0,198.0,7.0,0.07215134183897932,0.08710954685437748,0.0,0.0
2020-04-06,0.0,7.0,10.0,0.0,0.0,6.0,101.0,0.0,11.0,12.0,1.0,2.0,1.0,9.0,2.0,7.0,0.0,3.0,0.0,10.0,2.0,1.0,1.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,2090.0,2491.0,192.0,28.0,209.0,11.0,0.07707747892412686,0.08390204737053392,0.0,0.0
2020-04-07,0.0,0.0,7.0,0.0,0.0,1.0,135.0,0.0,80.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,2313.0,2738.0,204.0,12.0,221.0,12.0,0.07450693937180423,0.08071585098612126,0.0,0.0
