Date,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
2020-03-15,0,0,0,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,1,0,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,4,0,0,1,30,0,12,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2020-03-19,0,0,10,0,0,2,52,0,2,4,1,0,2,0,0,0,2,0,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0
2020-03-20,0,3,10,0,0,-1,5,0,15,0,6,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
2020-03-21,0,0,4,0,0,1,44,0,14,2,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,40,0,4,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
2020-03-23,0,3,9,0,0,0,44,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-24,0,0,9,0,0,1,70,0,1,4,10,1,0,1,0,0,0,1,1,0,1,5,0,0,0,0,1,0,0,0,1,0,0,0
2020-03-25,0,3,2,0,0,11,39,0,13,19,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2020-03-26,1,0,0,0,0,0,53,0,5,2,8,0,0,2,0,0,0,0,0,3,0,0,0,14,1,2,1,0,0,0,4,0,0,0
2020-03-27,3,0,17,0,0,6,83,0,20,3,7,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,2,0,0,0,0
2020-03-28,0,0,10,0,0,0,38,0,21,12,11,0,6,1,0,2,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
2020-03-29,0,1,3,0,0,0,48,0,30,8,13,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,2,0,0,0
2020-03-30,0,9,22,1,0,1,24,1,25,17,1,1,0,0,4,0,1,0,0,3,0,5,0,4,0,4,1,0,0,0,0,0,0,0
2020-03-31,0,0,14,1,1,5,41,0,16,13,2,0,3,2,2,0,1,2,3,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
2020-04-01,0,6,11,0,0,5,62,0,21,11,11,1,1,0,0,0,0,2,0,0,1,2,0,15,0,0,0,0,0,0,0,0,0,0
2020-04-02,0,0,8,0,0,0,80,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2020-04-03,0,2,6,0,1,0,74,0,2,10,52,0,1,3,0,6,1,1,1,0,0,0,3,16,2,4,3,0,0,0,6,0,0,0
2020-04-04,0,5,3,0,0,5,55,0,24,7,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
2020-04-05,0,3,4,0,0,1,96,0,5,0,36,0,6,0,8,0,1,0,4,0,0,0,0,3,0,0,1,0,0,0,8,0,0,0
2020-04-06,0,7,10,0,0,6,101,0,11,12,1,2,1,9,2,7,0,3,0,10,2,1,1,30,0,1,1,0,0,0,0,0,0,0
