Date,dosis_pertama,dosis_kedua,dosis_ketiga,dosis_satu_nakes,dosis_dua_nakes,dosis_tiga_nakes,dosis_satu_petugas_publik,dosis_dua_petugas_publik,dosis_satu_lansia,dosis_dua_lansia,dosis_satu_umum,dosis_dua_umum,dosis_satu_remaja,dosis_dua_remaja
2021-01-13,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,7760,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,18958,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,24414,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,24540,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,41918,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,58225,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,81244,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,109836,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,134834,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-23,150201,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24,152009,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,161959,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-26,245685,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,308003,66,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,368318,5468,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,405012,11287,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-30,482145,20810,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,493133,22548,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,539532,35406,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,596260,51999,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,646026,71621,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04,700266,96553,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-05,744884,120725,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-06,777096,137207,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-07,784318,139131,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,814585,171270,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-09,845407,221453,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-10,969546,279251,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-11,1017186,345605,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,1038756,380545,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-13,1060326,415486,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-14,1068747,425578,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-15,1096095,482625,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-16,1120963,537147,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-17,1149939,597328,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,1164144,623832,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-19,1191031,668914,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-20,1224091,732634,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-21,1227918,736710,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,1244215,764905,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,1269905,789966,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,1363138,825650,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,1461920,853745,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,1583581,865870,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-27,1616165,982370,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,1691724,998439,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,1720523,1002218,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-02,1935478,1047288,0,1535093,1055290,0,309677,1,123287,0,0,0,0,0
2021-03-03,2104967,1076409,0,1584300,1075729,0,381939,680,138728,0,0,0,0,0
2021-03-04,2286123,1100228,0,1646685,1098550,0,479119,1676,160319,2,0,0,0,0
2021-03-05,2413615,1114537,0,1692016,1111938,0,541888,2597,179711,2,0,0,0,0
2021-03-06,2552265,1130524,0,1741784,1126353,0,604456,4169,206025,2,0,0,0,0
2021-03-07,2888757,1133787,0,2049551,1129340,0,623474,4445,215632,2,0,0,0,0
2021-03-08,3098025,1158432,0,2114655,1149547,0,715767,8880,267603,5,0,0,0,0
2021-03-09,3337026,1197772,0,1395498,1127633,0,1510937,68527,430591,1612,0,0,0,0
2021-03-10,3574698,1262878,0,1395498,1127633,0,1682896,119495,494125,2694,0,0,0,0
2021-03-11,3696059,1295615,0,1402959,1147846,0,1767209,144689,525891,3080,0,0,0,0
2021-03-12,3769174,1339362,0,1404764,1153626,0,1819875,182177,544535,3559,0,0,0,0
2021-03-13,3985596,1454836,0,1412736,1171385,0,1947195,278954,625665,4497,0,0,0,0
2021-03-14,4020124,1460222,0,1413684,1172848,0,1967948,282844,638492,4530,0,0,0,0
2021-03-15,4166862,1572786,0,1418620,1183715,0,2046659,383920,701583,5151,0,0,0,0
2021-03-16,4468951,1716749,0,1425885,1196387,0,2272389,514516,770545,5844,0,0,0,0
2021-03-17,4705248,1876140,0,1431713,1208113,0,2436907,661427,836628,6600,0,0,0,0
2021-03-18,4838752,1948531,0,1434691,1213810,0,2542389,727826,861672,6895,0,0,0,0
2021-03-19,5124948,2221200,0,1442440,1231104,0,2727680,982506,954828,7590,0,0,0,0
2021-03-20,5533379,2301978,0,1445477,1235842,0,3085947,1057750,1001955,8386,0,0,0,0
2021-03-21,5567280,2312601,0,1446141,1236796,0,3109656,1067271,1011843,8534,0,0,0,0
2021-03-22,5732210,2494422,0,1449757,1245055,0,3221959,1237961,1060494,11406,0,0,0,0
2021-03-23,5978251,2709545,0,1453841,1254761,0,3399373,1432498,1125037,22286,0,0,0,0
2021-03-24,6389837,2941016,0,1458033,1263152,0,3706240,1638960,1225564,38904,0,0,0,0
2021-03-25,6730456,3015190,0,1461489,1266029,0,3967185,1691934,1301782,57227,0,0,0,0
2021-03-26,6990082,3152612,0,1464650,1270999,0,4169000,1803291,1356432,78332,0,0,0,0
2021-03-27,7190663,3235027,0,1429971,1272782,0,4357342,1865840,1403350,96405,0,0,0,0
2021-03-28,7251039,3246809,0,1430428,1273417,0,4405955,1871683,1414656,101709,0,0,0,0
2021-03-29,7435851,3330639,0,1432153,1275981,0,4549721,1936112,1453977,118546,0,0,0,0
2021-03-30,7840024,3561192,0,1435351,1282214,0,4858404,2119155,1546269,159823,0,0,0,0
2021-03-31,8115714,3717081,0,1438016,1286168,0,5061358,2247772,1616340,183141,0,0,0,0
2021-04-01,8371577,3854451,0,1440648,1289711,0,5258199,2351407,1672730,213333,0,0,0,0
2021-04-02,8424729,3867762,0,1441069,1290437,0,5304045,2359548,1679615,217777,0,0,0,0
2021-04-03,8544910,3954343,0,1441529,1292170,0,5396453,2407200,1706928,254973,0,0,0,0
2021-04-04,8634321,4014803,0,1441916,1293503,0,5471102,2459553,1721303,261747,0,0,0,0
2021-04-05,8856373,4230800,0,1443385,1297351,0,5641985,2604222,1771003,329227,0,0,0,0
2021-04-06,9021106,4431504,0,1444800,1300745,0,5763219,2730226,1813087,400533,0,0,0,0
2021-04-07,9196435,4554695,0,1445970,1302596,0,5905406,2812292,1844923,439807,0,0,0,0
2021-04-08,9374089,4697396,0,1447505,1304661,0,6039462,2931000,1888623,461735,0,0,0,0
2021-04-09,9809471,4952219,0,1451679,1309418,0,6386485,3100990,1970580,541811,0,0,0,0
2021-04-10,10002901,5079048,0,1453325,1310929,0,6529107,3179779,2019832,588340,0,0,0,0
2021-04-11,10049541,5101921,0,1453701,1311259,0,6564802,3193398,2030311,597464,0,0,0,0
2021-04-12,10280073,5322501,0,1455949,1314396,0,6735239,3336070,2088158,672035,0,0,0,0
2021-04-13,10377734,5433715,0,1457405,1316347,0,6811090,3394098,2108512,722410,0,0,0,0
2021-04-14,10481905,5572859,0,1459169,1318528,0,6890942,3472356,2131067,781975,0,0,0,0
2021-04-15,10600469,5715813,0,1460747,1321085,0,6983097,3549833,2155898,844895,0,0,0,0
2021-04-16,10709628,5821888,0,1464225,1323006,0,7066375,3600857,2178229,898025,0,0,0,0
2021-04-17,10801563,5890790,0,1465021,1323987,0,7139477,3636800,2199326,930003,0,0,0,0
2021-04-18,10828733,5911343,0,1465210,1324382,0,7159290,3649998,2203494,936963,0,0,0,0
2021-04-19,10972343,6052612,0,1466675,1325963,0,7267647,3724381,2237282,1002268,0,0,0,0
2021-04-20,11116253,6158748,0,1467860,1327443,0,7383064,3790548,2264590,1040757,0,0,0,0
2021-04-21,11302294,6341931,0,1480525,1338926,0,7522899,3891666,2298131,1111339,0,0,0,0
2021-04-22,11432711,6488197,0,1482356,1341072,0,7649976,4007952,2329700,1171605,0,0,0,0
2021-04-23,11623251,6699327,0,1484188,1343218,0,7777053,4124238,2361270,1231871,0,0,0,0
2021-04-24,11718546,6798241,0,1484971,1344232,0,7848268,4190969,2384567,1263040,0,0,0,0
2021-04-25,11741559,6829415,0,1485102,1344441,0,7869046,4215417,2386671,1269557,0,0,0,0
2021-04-26,11872598,7023351,0,1486574,1346352,0,7967909,4344278,2417375,1332721,0,0,0,0
2021-04-27,12015912,7214534,0,1488135,1348327,0,8076455,4475281,2450582,1390926,0,0,0,0
2021-04-28,12150377,7411095,0,1489628,1350703,0,8175635,4608443,2484734,1451949,0,0,0,0
2021-04-29,12306755,7583443,0,1491053,1352846,0,8294475,4730728,2520487,1499869,0,0,0,0
